epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.6705932290454185,0.4398017904929749,0.4410473671906699,0.5486611293711547
1,0.001,0.40981262903563015,0.5622645316199983,0.3729085430205444,0.579947964452389
2,0.001,0.3618014545964945,0.6017429731437801,0.33561574333783356,0.6260614168573404
3,0.001,0.32994846523744276,0.6287440570224335,0.33014603560287875,0.6273556661089053
4,0.001,0.310337194301071,0.6468530636455152,0.314193629467211,0.6521512719484259
5,0.001,0.29496458798490893,0.664265547164923,0.2766148698949768,0.6791948029202419
6,0.001,0.2798382118890423,0.6802079351923351,0.27567160863570833,0.6859133589653024
7,0.001,0.26514439766943765,0.6945837862827305,0.2626722774540925,0.6994122311336355
8,0.001,0.2547904401003378,0.7069064867865013,0.23440479785107982,0.7302653095310951
9,0.001,0.24097517400355864,0.7205745965259749,0.25286961197661184,0.7217319740880332
10,0.001,0.22995676915527014,0.7349775538698057,0.2270060245856806,0.7445536572435684
11,0.001,0.22386576397568766,0.7420474990734598,0.21639287305776334,0.7494887211584029
12,0.001,0.2115464339861695,0.7561773972140065,0.20798686267394292,0.7608915850225523
13,0.001,0.2085782220226308,0.7577421309833428,0.2049354383264982,0.7637900288561781
14,0.001,0.20093761305690436,0.7685559514118043,0.20032106341850503,0.7699480922907487
15,0.001,0.19396155967294235,0.774556872744804,0.2003727850899417,0.76353714410297
16,0.001,0.18744067789996482,0.7820908742372651,0.19199029556778424,0.7754435130903942
17,0.001,0.179721718722301,0.7913915832403007,0.18038075929657538,0.7919873094757126
18,0.001,0.17772299095754224,0.7953365602946196,0.179550407119743,0.792688731632866
19,0.001,0.1740026391769579,0.797860041054868,0.17435100123871547,0.7984329196183304
20,0.001,0.16968744390141902,0.8015746368000132,0.17587495933683242,0.7963995756190962
21,0.001,0.16743399541415468,0.8055659406671803,0.168378961387079,0.8073742982928521
22,0.001,0.16156586743306114,0.8126985550346882,0.16729844438304306,0.8066641681349469
